name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl/kmpkg),engine(CC),max_power(bhp),seats
HondaWR-Vi-DTECVX,2017,950000,50000,Diesel,Individual,Manual,FirstOwner,25.5,1498,98.6,5
MarutiSwiftDzireZDI,2015,525000,40000,Diesel,Individual,Manual,FirstOwner,26.59,1248,74,5
MarutiSX4ZDI,2012,600000,72000,Diesel,Individual,Manual,FirstOwner,21.5,1248,88.8,5
TataTigor2017-2020XZ,2018,500000,35000,Petrol,Individual,Manual,FirstOwner,20.3,1199,83.81,5
MarutiBalenoDelta1.2,2016,575000,45000,Petrol,Individual,Manual,FirstOwner,21.4,1197,83.1,5
MarutiAlto800LXI,2017,275000,28000,Petrol,Individual,Manual,FirstOwner,24.7,796,47.3,5
ChevroletEnjoyTCDiLTZ7Seater,2013,300000,70000,Diesel,Individual,Manual,FirstOwner,18.2,1248,73.8,7
MarutiWagonRLXIMinor,2009,220000,120000,Petrol,Individual,Manual,FirstOwner,18.9,1061,67,5
MarutiOmniEMPISTDBSIV,2018,254999,25000,Petrol,Individual,Manual,FirstOwner,16.8,796,34.2,8
MarutiVitaraBrezzaLDiOption,2017,670000,70000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
FiatPalio1.2ELX,2003,70000,50000,Petrol,Individual,Manual,SecondOwner,,,,
MarutiOmni8SeaterBSIV,2012,150000,35000,Petrol,Individual,Manual,SecondOwner,14,796,35,5
Hyundaii201.2AstaDualTone,2018,730000,2388,Petrol,Individual,Manual,FirstOwner,18.6,1197,81.83,5
MarutiVitaraBrezzaLDi,2017,650000,16200,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MarutiAlto800CNGLXIOptional,2019,330000,10000,CNG,Individual,Manual,SecondOwner,33.44,796,40.3,4
MarutiAltoK10VXIAirbag,2019,366000,15000,Petrol,Individual,Manual,FirstOwner,23.95,998,67.1,5
HyundaiVernaVTVT1.6SXOption,2019,1149000,5000,Petrol,Individual,Manual,FirstOwner,17,1591,121.3,5
DatsunGOD,2016,150000,42000,Petrol,Individual,Manual,FirstOwner,20.63,1198,67,5
TataSafariDICOR2.2LX4x2,2011,425000,60000,Diesel,Individual,Manual,SecondOwner,13.93,2179,138.03,7
Maruti800Std,2012,150000,76000,Petrol,Individual,Manual,FirstOwner,16.1,796,37,4
JeepCompass1.4LimitedPlusBSIV,2019,2100000,5000,Petrol,Individual,Automatic,FirstOwner,16,1368,160.77,5
HondaCityiVTECVX,2018,925000,28900,Petrol,Dealer,Manual,FirstOwner,17.8,1497,117.3,5
HondaCityVMT,2013,425000,86300,Petrol,Dealer,Manual,FirstOwner,16.8,1497,116.3,5
MarutiSwiftDzireVXiAT,2018,675000,23300,Petrol,Dealer,Automatic,FirstOwner,18.5,1197,83.14,5
MarutiVitaraBrezzaVDi,2018,819999,32600,Diesel,Dealer,Manual,FirstOwner,24.3,1248,88.5,5
MarutiAltoK10VXI,2018,390000,10300,Petrol,Dealer,Manual,FirstOwner,23.95,998,67.05,5
ToyotaFortuner4x4MT,2014,1500000,77000,Diesel,Dealer,Manual,FirstOwner,12.55,2982,168.5,7
ToyotaInnova2.5G(Diesel)7SeaterBSIV,2013,700000,99000,Diesel,Dealer,Manual,FirstOwner,12.99,2494,100,7
Mercedes-BenzBClassB180,2014,1450000,27800,Diesel,Dealer,Automatic,SecondOwner,14.8,2143,120.7,5
HondaAmazeSDiesel,2015,425000,49800,Diesel,Dealer,Manual,FirstOwner,24.7,1498,98.63,5
MitsubishiPajeroSport4X4,2013,1090000,151000,Diesel,Dealer,Manual,FirstOwner,13.5,2477,175.56,7
HondaCityiDTECS,2015,600000,54700,Diesel,Dealer,Manual,FirstOwner,26,1498,98.6,5
MarutiCiazZeta,2018,850000,64000,Petrol,Dealer,Manual,FirstOwner,20.65,1462,103.25,5
HondaJazzVXDiesel,2015,525000,63000,Diesel,Dealer,Manual,FirstOwner,27.3,1498,98.6,5
ToyotaInnovaCrysta2.8ZXATBSIV,2016,1650000,127700,Diesel,Dealer,Automatic,SecondOwner,11.36,2755,171.5,7
ToyotaInnova2.5G(Diesel)7Seater,2016,950000,99000,Diesel,Dealer,Manual,FirstOwner,12.99,2494,100.6,7
AudiA62.0TDITechnology,2013,1750000,33900,Diesel,Dealer,Automatic,SecondOwner,17.68,1968,174.33,5
ToyotaCorollaAltis1.8VLCVT,2018,1590000,25000,Petrol,Dealer,Automatic,FirstOwner,14.28,1798,138.03,5
AudiA62.0TDIDesignEdition,2013,1689999,50000,Diesel,Dealer,Automatic,FirstOwner,18.53,1968,187.74,5
Mercedes-BenzNewC-Class220CDIAT,2013,1425000,59000,Diesel,Dealer,Automatic,FirstOwner,14.84,2143,170,5
TataManzaELANQuadrajetBSIV,2011,265000,120000,Diesel,Individual,Manual,FirstOwner,21.12,1248,88.8,5
Hyundaii10Magna,2011,190000,110000,Petrol,Individual,Manual,ThirdOwner,20.36,1197,78.9,5
Hyundaii20Asta1.4CRDi,2013,425000,60000,Diesel,Individual,Manual,FirstOwner,21.27,1396,88.76,5
MarutiSwiftDzireZDI,2015,630000,147000,Diesel,Individual,Manual,SecondOwner,26.59,1248,74,5
FordFigo1.2PTitaniumMT,2017,600000,25000,Petrol,Individual,Manual,ThirdOwner,18.16,1196,86.8,5
MarutiBalenoDelta1.2,2019,650000,30000,Petrol,Individual,Manual,FirstOwner,21.4,1197,83.1,5
VolkswagenAmeo1.5TDIHighline16Alloy,2016,540000,40000,Diesel,Individual,Manual,FirstOwner,22,1498,108.495,5
HondaCityiDTECVX,2015,630000,135000,Diesel,Individual,Manual,FirstOwner,25.1,1498,98.6,5
MarutiWagonRAMTVXI,2018,448000,30000,Petrol,Individual,Automatic,FirstOwner,20.51,998,67,5
VolkswagenAmeo1.5TDIComfortline,2017,500000,80000,Diesel,Individual,Manual,FirstOwner,21.66,1498,108.62,5
MarutiVitaraBrezzaVDi,2016,745000,70000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MarutiVitaraBrezzaZDiPlusAMT,2019,1025000,9850,Diesel,Individual,Automatic,FirstOwner,24.3,1248,88.5,5
Hyundaii10Magna,2011,235000,60000,Petrol,Individual,Manual,SecondOwner,20.36,1197,78.9,5
MarutiSwiftVDIDeca,2016,630000,70000,Diesel,Individual,Manual,FirstOwner,25.2,1248,74,5
ToyotaFortuner4x4MT,2015,1700000,78000,Diesel,Individual,Manual,SecondOwner,12.55,2982,168.5,7
MarutiSwiftStarVDI,2013,450000,120000,Diesel,Individual,Manual,SecondOwner,22.9,1248,74,5
MarutiErtigaZXI,2012,450000,120000,Petrol,Individual,Manual,SecondOwner,16.02,1373,93.7,7
TataIndicaDLS,2003,50000,70000,Diesel,Individual,Manual,FirstOwner,,,,
VolkswagenVentoDieselHighline,2013,450000,170000,Diesel,Individual,Manual,FirstOwner,20.54,1598,103.6,5
ToyotaInnova2.5VX(Diesel)8Seater,2016,1200000,140000,Diesel,Individual,Manual,FirstOwner,12.99,2494,100.6,8
FordEcoSport1.5TDCiTitaniumPlusBSIV,2015,610000,90000,Diesel,Individual,Manual,FirstOwner,22.77,1498,98.59,5
BMWX1sDrive20ixLine,2016,2500000,30000,Petrol,Individual,Automatic,SecondOwner,15.71,1998,189,5
MarutiCelerioZXIMTBSIV,2017,484999,10000,Petrol,Dealer,Manual,FirstOwner,23.1,998,67.04,5
DatsunGOAPetrol,2016,275000,49000,Petrol,Dealer,Manual,FirstOwner,19.02,1198,67.05,5
MarutiAlto800VXIBSIV,2016,315000,32000,Petrol,Dealer,Manual,FirstOwner,24.7,796,47.3,5
MarutiAlto800LXIBSIV,2016,275000,38000,Petrol,Dealer,Manual,FirstOwner,24.7,796,47.3,5
MarutiSwiftVDIBSIVWABS,2015,475000,78000,Diesel,Dealer,Manual,FirstOwner,,,,
Hyundaii10Era1.1,2012,290000,28000,Petrol,Dealer,Manual,FirstOwner,19.81,1086,68.05,5
MarutiOmni8SeaterBSIV,2017,280000,32000,Petrol,Dealer,Manual,FirstOwner,14,796,35,5
MarutiWagonRLXILPGBSIV,2010,225000,44000,LPG,Dealer,Manual,FirstOwner,26.2,998,58.2,5
VolkswagenPolo1.2MPIComfortline,2015,455000,42000,Petrol,Dealer,Manual,FirstOwner,16.47,1198,74,5
Hyundaii10Magna1.1L,2015,351000,45000,Petrol,Dealer,Manual,SecondOwner,19.81,1086,68.05,5
VolkswagenVentoPetrolHighline,2012,535000,12000,Petrol,Dealer,Manual,SecondOwner,15.04,1598,103.6,5
MarutiZenEstiloLXIBSIII,2009,175000,55500,Petrol,Dealer,Manual,FirstOwner,18.2,998,67.1,5
Hyundaii20AstaOptionalwithSunroof1.2,2013,525000,61500,Petrol,Dealer,Manual,FirstOwner,18.5,1197,82.85,5
MarutiSwiftDzireLDI,2016,600000,150000,Diesel,Individual,Manual,FirstOwner,26.59,1248,74,5
HyundaiXcent1.2KappaSXOptionAT,2016,565000,72000,Petrol,Dealer,Automatic,FirstOwner,19.1,1197,82,5
MarutiAltoLXBSIII,2008,120000,68000,Petrol,Dealer,Manual,ThirdOwner,19.7,796,46.3,5
Hyundaii201.4AstaOption,2017,725000,110000,Diesel,Individual,Manual,FirstOwner,22.54,1396,88.73,5
MarutiWagonRVXI,2009,185000,77000,Petrol,Dealer,Manual,SecondOwner,21.79,998,67.05,5
TataManzaAura(ABS)Quadrajet,2010,200000,100000,Diesel,Individual,Manual,SecondOwner,18.8,1248,90,5
MarutiSwiftVXI,2019,615000,10000,Petrol,Individual,Manual,FirstOwner,21.21,1197,81.8,5
MarutiEeco7SeaterStandardBSIV,2016,270000,100000,Petrol,Individual,Manual,ThirdOwner,15.37,1196,73,7
MarutiBalenoZeta1.2,2018,610000,35000,Petrol,Individual,Manual,FirstOwner,21.4,1197,83.1,5
MahindraScorpioVLXATAIRBAGBSIV,2014,625000,70000,Diesel,Individual,Automatic,SecondOwner,11.79,2179,120,8
FordFreestyleTitaniumPetrolBSIV,2020,400000,5000,Petrol,Individual,Manual,SecondOwner,19,1194,94.68,5
HyundaiVernaVTVT1.6SX,2017,866000,37800,Petrol,Individual,Manual,FirstOwner,17,1591,121.3,5
VolkswagenPassat1.8TSIMT,2010,700000,114000,Petrol,Individual,Manual,FirstOwner,14.3,1798,160,5
TataIndicaVistaAura1.2Safire(ABS)BSIV,2010,300000,48000,Petrol,Individual,Manual,FirstOwner,15.8,1172,65,5
MahindraXUV500W11OptionAWD,2019,1700000,32000,Diesel,Individual,Manual,FirstOwner,15.1,2179,155,7
TataIndigoCSLS(TDI)BS-III,2016,375000,100000,Diesel,Individual,Manual,FirstOwner,19.09,1405,69.01,5
HyundaiVerna1.6SX,2013,522000,150000,Diesel,Individual,Manual,SecondOwner,22.32,1582,126.32,5
Hyundaii20Magna1.4CRDi(Diesel),2013,451999,69000,Diesel,Individual,Manual,FirstOwner,21.9,1396,88.76,5
ToyotaCorollaAltisG,2009,300000,100000,Petrol,Individual,Manual,SecondOwner,14.53,1798,138.1,5
MarutiCelerioVXI,2020,475000,13000,Petrol,Individual,Manual,FirstOwner,21.63,998,67.04,5
MarutiVitaraBrezzaZDiPlusDualTone,2016,780000,60000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MarutiSwiftDzireVXI,2017,595000,40000,Petrol,Individual,Manual,FirstOwner,20.85,1197,83.14,5
MarutiWagonRVXIBSIV,2017,440000,35000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
MarutiSwiftVDIBSIV,2010,300000,120000,Diesel,Individual,Manual,SecondOwner,,,,
NissanTerranoXL85PS,2014,400000,70000,Diesel,Individual,Manual,ThirdOwner,20.45,1461,83.8,5
HyundaiCreta1.6CRDiSX,2016,1140000,50000,Diesel,Individual,Manual,FirstOwner,19.67,1582,126.2,5
FordEcoSport1.5DieselTitaniumPlusBSIV,2017,850000,76139,Diesel,Individual,Manual,FirstOwner,23,1498,98.96,5
MarutiSwiftDzireVDi,2012,370000,175000,Diesel,Individual,Manual,Fourth&AboveOwner,19.3,1248,73.9,5
RenaultKWID1.0,2018,350000,25000,Petrol,Individual,Manual,FirstOwner,23.01,999,67,5
MarutiCelerioVXI,2015,360000,40000,Petrol,Individual,Manual,SecondOwner,23.1,998,67.04,5
MarutiAltoLXi,2008,105000,65000,Petrol,Individual,Manual,Fourth&AboveOwner,19.7,796,46.3,5
MarutiErtigaVDI,2013,625000,90000,Diesel,Individual,Manual,SecondOwner,20.77,1248,88.76,7
HyundaiSantroXingGLS,2009,135000,80000,Petrol,Individual,Manual,SecondOwner,17.92,1086,62.1,5
MarutiErtigaVDI,2015,700000,110000,Diesel,Individual,Manual,SecondOwner,20.77,1248,88.76,7
HondaAmazeSi-VTEC,2019,690000,1303,Petrol,Dealer,Manual,FirstOwner,17.8,1198,86.7,5
AudiQ535TDIPremiumPlus,2018,3975000,31800,Diesel,Dealer,Automatic,FirstOwner,17.01,1968,188,5
LexusES300h,2019,5150000,20000,Petrol,Dealer,Automatic,FirstOwner,22.37,2487,214.56,5
JaguarXF2.0DieselPortfolio,2017,3200000,45000,Diesel,Dealer,Automatic,FirstOwner,19.33,1999,177,5
JeepWrangler2016-20193.64X4,2017,4100000,17000,Petrol,Individual,Automatic,FirstOwner,9.5,3604,280,5
LandRoverDiscoverySportTD4SE,2019,4500000,21000,Diesel,Dealer,Automatic,FirstOwner,12.83,1999,148.31,7
Mercedes-BenzS-ClassS350CDI,2017,6000000,37000,Diesel,Dealer,Automatic,FirstOwner,13.5,2987,254.79,5
BMW5Series520dSportLine,2018,3790000,29500,Diesel,Dealer,Automatic,FirstOwner,22.48,1995,187.74,5
BMWX1sDrive20DxLine,2017,2150000,27000,Diesel,Dealer,Automatic,FirstOwner,,,,
BMWX4MSportXxDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,FirstOwner,16.78,1995,190,5
SkodaSuperbLK1.8TSIAT,2018,1864999,50000,Petrol,Dealer,Automatic,FirstOwner,14.67,1798,177.46,5
Mercedes-BenzE-ClassE250EditionE,2016,2700000,35000,Diesel,Dealer,Automatic,FirstOwner,15,2143,204,5
MGHectorSharpATBSIV,2019,1750000,19000,Petrol,Dealer,Automatic,FirstOwner,13.96,1451,141,5
HondaCityi-VTECCVTVX,2017,795000,41000,Petrol,Dealer,Automatic,FirstOwner,18,1497,117.6,5
ToyotaCorollaAltis1.8GCVT,2013,625000,39000,Petrol,Dealer,Automatic,FirstOwner,14.28,1798,138.03,5
VolvoXC40D4R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,FirstOwner,18,1969,190,5
AudiQ735TDIQuattroPremium,2015,2650000,53000,Diesel,Dealer,Automatic,FirstOwner,12.07,2967,241.4,7
MarutiCiazZDi,2015,535000,40000,Diesel,Dealer,Manual,FirstOwner,26.21,1248,88.5,5
Mercedes-BenzS-ClassS350CDI,2017,5850000,47000,Diesel,Dealer,Automatic,FirstOwner,13.5,2987,282,5
BMW5Series523i,2010,975000,72200,Petrol,Dealer,Automatic,SecondOwner,10.8,2497,150,5
HyundaiElantraS,2016,805000,49900,Petrol,Dealer,Manual,FirstOwner,16.3,1797,147.5,5
JaguarXE2016-20192.0LDieselPrestige,2017,2625000,9000,Diesel,Dealer,Automatic,FirstOwner,13.6,1999,177,5
TataNexon1.2RevotronXZPlusDualTone,2018,811000,11000,Petrol,Dealer,Manual,FirstOwner,17,1198,108.5,5
VolkswagenVentoPetrolHighline,2011,375000,49000,Petrol,Individual,Manual,FirstOwner,15.04,1598,103.6,5
HyundaiElantraSX,2012,550000,95000,Petrol,Individual,Manual,FirstOwner,16.3,1797,147.5,5
SkodaRapid1.6MPIATElegance,2016,645000,11000,Petrol,Dealer,Automatic,FirstOwner,14.3,1598,103.5,5
Mercedes-BenzCLA200CGISport,2018,2550000,18000,Petrol,Dealer,Automatic,FirstOwner,15.04,1991,183,5
MarutiErtigaZXI,2014,599000,46100,Petrol,Dealer,Manual,FirstOwner,16.02,1373,93.7,7
Mercedes-BenzNewC-ClassC200AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,FirstOwner,14.74,1991,181.04,5
HondaCityVAT,2017,875000,18000,Petrol,Dealer,Automatic,FirstOwner,15.6,1497,116.3,5
ToyotaGlanzaVCVT,2019,894999,9654,Petrol,Dealer,Automatic,FirstOwner,19.56,1197,81.8,5
MarutiAltoK10VXI,2011,175000,11000,Petrol,Dealer,Manual,FirstOwner,23.95,998,67.05,5
MarutiSwiftVXI,2012,340000,24300,Petrol,Dealer,Manual,FirstOwner,21.21,1197,81.8,5
ToyotaInnovaCrysta2.8ZXATBSIV,2016,1525000,42163,Diesel,Dealer,Automatic,SecondOwner,11.36,2755,171.5,7
TataNexon1.5RevotorqXZAPlusDualTone,2018,1025000,8000,Diesel,Dealer,Automatic,FirstOwner,21.5,1497,108.5,5
BMW3Series320dLuxuryLine,2016,2150000,30000,Diesel,Dealer,Automatic,FirstOwner,22.69,1995,190,5
ToyotaCamry2.5Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,FirstOwner,19.16,2494,157.7,5
BMW5Series520dLuxuryLine,2016,2900000,12000,Diesel,Dealer,Automatic,FirstOwner,18.12,1995,190,5
ToyotaCamryW4(AT),2009,450000,71000,Petrol,Dealer,Automatic,FirstOwner,12.1,2362,164.7,5
MarutiErtigaBSIVZXIPlus,2016,850000,20000,Petrol,Individual,Manual,FirstOwner,17.5,1373,91.1,7
VolvoXC90T8ExcellenceBSIV,2017,10000000,30000,Petrol,Individual,Automatic,FirstOwner,42,1969,400,4
VolkswagenVentoDieselHighline,2011,300000,100000,Diesel,Individual,Manual,SecondOwner,20.54,1598,103.6,5
FordFigoAspire1.2Ti-VCTTrend,2018,575000,9500,Petrol,Individual,Manual,FirstOwner,18.16,1196,86.8,5
FordFigoDieselLXI,2011,160000,120000,Diesel,Individual,Manual,FirstOwner,20,1399,68,5
MarutiSwiftVXIOptional,2015,515000,36600,Petrol,Individual,Manual,FirstOwner,20.4,1197,81.8,5
MarutiWagonRAMTVXI,2015,390000,50000,Petrol,Individual,Automatic,SecondOwner,20.51,998,67,5
Hyundaii20Magna1.2,2016,550000,14000,Petrol,Individual,Manual,SecondOwner,18.6,1197,81.83,5
Maruti800Std,1999,40000,40000,Petrol,Individual,Manual,SecondOwner,16.1,796,37,4
MarutiRitzVDi,2010,220000,120000,Diesel,Individual,Manual,FirstOwner,21.1,1248,73.9,5
HyundaiGrandi10Magna,2015,425000,70000,Petrol,Individual,Manual,FirstOwner,18.9,1197,82,5
VolkswagenAmeo1.0MPITrendline,2019,480000,13000,Petrol,Individual,Manual,FirstOwner,19.44,999,75,5
HyundaiGrandi10Sportz,2014,400000,60000,Petrol,Individual,Manual,SecondOwner,18.9,1197,82,5
MarutiSwiftDzireVXI,2014,487000,35000,Petrol,Individual,Manual,FirstOwner,19.1,1197,85.8,5
HyundaiXcent1.2KappaS,2016,386000,44000,Petrol,Individual,Manual,SecondOwner,19.1,1197,82,5
HondaCity1.5EXI,2005,100000,120000,Petrol,Individual,Manual,SecondOwner,13,1493,100,5
ToyotaCorollaAltisDieselD4DG,2010,300000,60000,Diesel,Individual,Manual,FirstOwner,21.43,1364,87.2,5
DaewooMatizSD,2000,100000,60000,Petrol,Individual,Manual,FirstOwner,18.5,796,53,5
ToyotaFortuner4x2Manual,2014,1750000,30000,Diesel,Individual,Manual,SecondOwner,13,2982,168.5,7
MahindraKUV100mFALCONG80K8,2016,450000,15000,Petrol,Individual,Manual,SecondOwner,18.15,1198,82,6
TataZestQuadrajet1.375PSXM,2017,490000,90000,Diesel,Individual,Manual,FirstOwner,22.95,1248,74,5
HondaCity1.5SMT,2009,345000,47000,Petrol,Individual,Manual,SecondOwner,17,1497,118,5
MarutiZenLXI,2005,85000,90000,Petrol,Individual,Manual,FirstOwner,17.3,993,60,5
MarutiWagonRVXIBSIVwithABS,2010,215000,120600,Petrol,Individual,Manual,SecondOwner,18.9,998,67.1,5
HyundaiVernaTransformSXVTVT,2010,320000,100000,Petrol,Individual,Manual,ThirdOwner,16.2,1599,103.2,5
MarutiSwiftDzireVXI,2016,459999,60000,Petrol,Individual,Manual,SecondOwner,20.85,1197,83.14,5
HyundaiGetzGLS,2005,65000,86000,Petrol,Individual,Manual,FirstOwner,15.3,1341,83,5
HyundaiElitei20SportzPlusBSIV,2020,720000,5000,Petrol,Individual,Manual,FirstOwner,18.6,1197,81.86,5
MarutiCiaz1.3Alpha,2017,800000,37000,Diesel,Individual,Manual,FirstOwner,28.09,1248,88.5,5
TataTigor1.2RevotronXZ,2019,520000,14000,Petrol,Individual,Manual,FirstOwner,20.3,1199,84,5
MarutiErtigaVDI,2015,580000,70000,Diesel,Individual,Manual,FirstOwner,20.77,1248,88.76,7
ToyotaEtiosGD,2012,235000,120000,Diesel,Individual,Manual,FirstOwner,,,,
HondaCityiVTECS,2015,600000,50000,Petrol,Individual,Manual,FirstOwner,17.4,1497,117.3,5
HondaBrioSMT,2014,290000,60000,Petrol,Individual,Manual,SecondOwner,19.4,1198,86.8,5
MarutiWagonRLXICNG,2016,360000,50000,CNG,Individual,Manual,FirstOwner,26.6,998,58.16,5
MarutiSwiftDzireVXI,2017,550000,50000,Petrol,Individual,Manual,FirstOwner,20.85,1197,83.14,5
Hyundaii20Sportz1.2,2013,375000,70000,Petrol,Individual,Manual,FirstOwner,18.5,1197,82.85,5
MarutiOmniE8StrSTD,2003,40000,90000,Petrol,Individual,Manual,SecondOwner,,,,
MarutiWagonRAMTVXI,2018,420000,35000,Petrol,Individual,Automatic,FirstOwner,20.51,998,67,5
MarutiSwiftDzireVXI1.2,2017,550000,20000,Petrol,Individual,Manual,FirstOwner,21.21,1197,81.8,5
MarutiAlto800LXI,2018,270000,20000,Petrol,Individual,Manual,FirstOwner,24.7,796,47.3,5
MarutiSwiftDzireAMTVXIBSIV,2018,700000,7800,Petrol,Individual,Automatic,FirstOwner,22,1197,81.8,5
MarutiSwiftVXIOptional,2017,500000,20000,Petrol,Individual,Manual,FirstOwner,20.4,1197,81.8,5
TataHexaXE,2019,1250000,15000,Diesel,Individual,Manual,FirstOwner,17.6,2179,147.94,7
Hyundaii20Magna,2013,320000,31377,Petrol,Individual,Manual,SecondOwner,18.5,1197,82.85,5
MarutiSwiftDzireVDI,2018,700000,50000,Diesel,Individual,Manual,FirstOwner,28.4,1248,74.02,5
MarutiWagonRVXIBSIV,2015,290000,60000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
ToyotaCorollaAltis1.8VLAT,2012,550000,100000,Petrol,Individual,Automatic,FirstOwner,14.53,1794,138.1,5
HondaBrioSMT,2012,265000,60000,Petrol,Individual,Manual,FirstOwner,19.4,1198,86.8,5
MarutiBalenoAlphaAutomatic,2018,830000,5000,Petrol,Individual,Automatic,FirstOwner,21.4,1197,83.1,5
TataSafariStormeEX,2017,800000,60000,Diesel,Individual,Manual,FirstOwner,14.1,2179,147.94,7
MarutiAltoLXi,2011,160000,25000,Petrol,Individual,Manual,SecondOwner,19.7,796,46.3,5
RenaultKWIDRXT,2018,335000,30000,Petrol,Individual,Manual,FirstOwner,25.17,799,53.3,5
DatsunGOTBSIV,2017,329000,80000,Petrol,Individual,Manual,SecondOwner,20.63,1198,67,5
MarutiVitaraBrezzaVDiOption,2017,775000,75000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
HyundaiXcent1.2VTVTSX,2020,524000,32000,Petrol,Individual,Manual,FirstOwner,20.14,1197,81.86,5
MarutiAlto800LXI,2015,245000,40000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
Hyundaii201.2Sportz,2012,275000,93000,Petrol,Individual,Manual,SecondOwner,17,1197,80,5
TataZestRevotron1.2XT,2018,520000,60000,Petrol,Individual,Manual,FirstOwner,17.57,1193,88.7,5
MarutiSwift1.3VXi,2008,130000,120000,Petrol,Individual,Manual,SecondOwner,,,,
NissanSunnyXL,2014,550000,37000,Petrol,Individual,Manual,FirstOwner,16.95,1498,97.7,5
FordEcoSport1.5PetrolTitaniumPlusBSIV,2018,910000,15000,Petrol,Individual,Manual,FirstOwner,17,1497,121.36,5
NissanMicraActiveXVS,2015,300000,80000,Petrol,Individual,Manual,FirstOwner,19.49,1198,67.04,5
MarutiWagonRLXIOptional,2016,350000,140000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
MahindraSsangyongRextonRX5,2013,900000,70000,Diesel,Individual,Manual,FirstOwner,12.83,2696,162,7
MahindraQuantoC8,2013,300000,120000,Diesel,Individual,Manual,SecondOwner,17.21,1493,100,7
MarutiRitzLDi,2010,250000,110000,Diesel,Individual,Manual,SecondOwner,21.1,1248,73.9,5
HyundaiCreta1.6CRDiSXPlusDualTone,2017,1100000,37000,Diesel,Individual,Manual,FirstOwner,19.67,1582,126.2,5
RenaultKWIDRXT,2016,270000,44000,Petrol,Individual,Manual,FirstOwner,25.17,799,53.3,5
MarutiErtigaVDI,2015,640000,80000,Diesel,Individual,Manual,FirstOwner,20.77,1248,88.76,7
MahindraXUV500W4,2015,650000,125000,Diesel,Individual,Manual,FirstOwner,15.1,2179,140,7
MarutiEeco5SeaterACBSIV,2017,409999,13500,Petrol,Individual,Manual,FirstOwner,15.37,1196,73,5
